album,track_title,track_n,lyric,line
Jazz,Fat Bottomed Girls,2,Take me to them dirty ladies every time,21
Jazz,Fat Bottomed Girls,2,Come on,22
Jazz,Fat Bottomed Girls,2,"Oh, won't you take me home tonight",23
Jazz,Fat Bottomed Girls,2,"Oh, down beside your red firelight?",24
Jazz,Fat Bottomed Girls,2,"Oh, and you give it all you got",25
Jazz,Fat Bottomed Girls,2,Fat bottomed girls,26
Jazz,Fat Bottomed Girls,2,You make the rockin' world go 'round,27
Jazz,Fat Bottomed Girls,2,Fat bottomed girls,28
Jazz,Fat Bottomed Girls,2,You make the rockin' world go 'round,29
Jazz,Fat Bottomed Girls,2,"Hey, listen here",30
Jazz,Fat Bottomed Girls,2,I got mortgages on homes,31
Jazz,Fat Bottomed Girls,2,I got stiffness in my bones,32
Jazz,Fat Bottomed Girls,2,Ain't no beauty queens,33
Jazz,Fat Bottomed Girls,2,"In this locality, I tell you",34
Jazz,Fat Bottomed Girls,2,"Oh, but I still get my pleasure",35
Jazz,Fat Bottomed Girls,2,Still got my greatest treasure,36
Jazz,Fat Bottomed Girls,2,"Hey, big woman, you gonna make",37
Jazz,Fat Bottomed Girls,2,"A big man of me, now get this",38
Jazz,Fat Bottomed Girls,2,"(Oh, I know) Are you gonna",39
Jazz,Fat Bottomed Girls,2,Take me home tonight? (Please),40
Jazz,Fat Bottomed Girls,2,"Oh, down beside that red firelight?",41
Jazz,Fat Bottomed Girls,2,Are you gonna let it all hang out?,42
Jazz,Fat Bottomed Girls,2,Fat bottomed girls,43
Jazz,Fat Bottomed Girls,2,You make the rockin' world go 'round,44
Jazz,Fat Bottomed Girls,2,Get on your bikes and ride!,45
Jazz,Fat Bottomed Girls,2,"Ooh, yeah Oh, yeah",46
Jazz,Fat Bottomed Girls,2,Them fat bottomed girls,47
Jazz,Fat Bottomed Girls,2,(Fat bottomed girls),48
Jazz,Fat Bottomed Girls,2,"Yeah, yeah, yeah",49
Jazz,Fat Bottomed Girls,2,"Alright, ride 'em cowboy",50
Jazz,Fat Bottomed Girls,2,(Fat bottomed girls),51
Jazz,Fat Bottomed Girls,2,"Yes, yes!",52
The game,Crazy Little Thing Called Love,5,This thing called love,1
The game,Crazy Little Thing Called Love,5,I just can't handle it,2
The game,Crazy Little Thing Called Love,5,This thing called love,3
The game,Crazy Little Thing Called Love,5,"I must get 'round to it, I ain't ready",4
The game,Crazy Little Thing Called Love,5,Crazy little thing called love,5
The game,Crazy Little Thing Called Love,5,A-this thing (This thing),6
The game,Crazy Little Thing Called Love,5,Called love (Called love),7
The game,Crazy Little Thing Called Love,5,It cries (Like a baby),8
The game,Crazy Little Thing Called Love,5,In a cradle all night,9
The game,Crazy Little Thing Called Love,5,"It swings (Woo, woo)",10
The game,Crazy Little Thing Called Love,5,"It jives (Woo, woo)",11
The game,Crazy Little Thing Called Love,5,It shakes all over,12
The game,Crazy Little Thing Called Love,5,"Woo, I kinda like it",13
The game,Crazy Little Thing Called Love,5,Crazy little thing called love,14
The game,Crazy Little Thing Called Love,5,There goes my baby,15
The game,Crazy Little Thing Called Love,5,She knows how to rock 'n' roll,16
The game,Crazy Little Thing Called Love,5,She drives me crazy,17
The game,Crazy Little Thing Called Love,5,She gives me hot and cold fever,18
The game,Crazy Little Thing Called Love,5,"Then she leaves me in a cool, cool sweat",19
The game,Crazy Little Thing Called Love,5,"I gotta be cool, relax, get hip",20
The game,Crazy Little Thing Called Love,5,And get on my tracks,21
The game,Crazy Little Thing Called Love,5,"Take a back seat, hitch-hike",22
The game,Crazy Little Thing Called Love,5,And take a long ride,23
The game,Crazy Little Thing Called Love,5,On my motorbike until I'm ready,24
The game,Crazy Little Thing Called Love,5,Crazy little thing called love,25
The game,Crazy Little Thing Called Love,5,"Yeah
I gotta be cool, relax, get hip",26
The game,Crazy Little Thing Called Love,5,And get on my tracks,27
The game,Crazy Little Thing Called Love,5,"Take a back seat Hitch-hike (Ah hum, ah hum)",28
The game,Crazy Little Thing Called Love,5,And take a long ride on my motorbike,29
The game,Crazy Little Thing Called Love,5,Until I'm ready (Ready Freddie),30
The game,Crazy Little Thing Called Love,5,Crazy little thing called love,31
The game,Crazy Little Thing Called Love,5,This thing called love,32
The game,Crazy Little Thing Called Love,5,I just can't handle it,33
The game,Crazy Little Thing Called Love,5,This thing called love,34
The game,Crazy Little Thing Called Love,5,I must get 'round to it,35
The game,Crazy Little Thing Called Love,5,I ain't ready (Ooh ooh ooh ooh),36
The game,Crazy Little Thing Called Love,5,Crazy little thing called love,37
The game,Crazy Little Thing Called Love,5,"Crazy little thing called love, yeah, yeah",38
The game,Crazy Little Thing Called Love,5,"Crazy little thing called love, yeah, yeah",39
The game,Crazy Little Thing Called Love,5,"Crazy little thing called love, yeah, yeah",40
The game,Crazy Little Thing Called Love,5,"Crazy little thing called love, yeah, yeah",41
The game,Crazy Little Thing Called Love,5,"Crazy little thing called love, yeah, yeah",42
The game,Crazy Little Thing Called Love,5,"Crazy little thing called love, yeah, yeah",43
The game,Crazy Little Thing Called Love,5,"Crazy little thing called love, yeah, yeah",44
The works,Hammer To Fall,8,Here we stand or here we fall,1
The works,Hammer To Fall,8,History won't care at all,2
The works,Hammer To Fall,8,"Make the bed, light the light, yeah",3
The works,Hammer To Fall,8,"Lady Mercy won't be home tonight, yeah",4
The works,Hammer To Fall,8,(You don't waste no time at all),5
The works,Hammer To Fall,8,Don't hear the bell but you answer the call,6
The works,Hammer To Fall,8,(It comes to you as to us all),7
The works,Hammer To Fall,8,"Yeah, we're just waiting",8
The works,Hammer To Fall,8,"For the hammer to fall, yeah",9
The works,Hammer To Fall,8,"Oh, ev'ry night and ev'ry day",10
The works,Hammer To Fall,8,A little piece of you is falling away,11
The works,Hammer To Fall,8,"But lift your face, the Western Way",12
The works,Hammer To Fall,8,Build your muscles,13
The works,Hammer To Fall,8,"As your body decays, yeah",14
The works,Hammer To Fall,8,(Tow your line and play their game),15
The works,Hammer To Fall,8,"Yeah, let the anesthetic cover it all",16
The works,Hammer To Fall,8,('Til one day they call your name),17
The works,Hammer To Fall,8,"You know it's time for the hammer to fall, yeah",18
The works,Hammer To Fall,8,Rich or poor or famous,19
The works,Hammer To Fall,8,For your truth is all the same,20
The works,Hammer To Fall,8,"Yeah baby (Oh no, oh no)",21
The works,Hammer To Fall,8,"Oh, lock your door but rain is pouring",22
The works,Hammer To Fall,8,Through your window pane (Oh no),23
The works,Hammer To Fall,8,"Baby, baby, now your struggle is all in vain",24
The works,Hammer To Fall,8,For he who grew up tall and proud,25
The works,Hammer To Fall,8,In the shadow of the mushroom cloud,26
The works,Hammer To Fall,8,Convinced our voices can't be heard,27
The works,Hammer To Fall,8,We just wanna scream it louder,28
The works,Hammer To Fall,8,And louder and louder,29
The works,Hammer To Fall,8,(What the hell we fighting for?),30
The works,Hammer To Fall,8,"Oh, just surrender and it won't hurt at all",31
The works,Hammer To Fall,8,(Just got time to say your prayers),32
The works,Hammer To Fall,8,"Ehh, while you're waiting",33
The works,Hammer To Fall,8,"For the hammer to, hammer to fall",34
The works,Hammer To Fall,8,"Hey, it's…",35
The works,Hammer To Fall,8,It's gonna fall,36
The works,Hammer To Fall,8,"Hammer, you know",37
The works,Hammer To Fall,8,"Yeah, hammer to fall",38
The works,Hammer To Fall,8,"Woo! Yeah, yeah",39
The works,Hammer To Fall,8,"Woo, woo!",40
The works,Hammer To Fall,8,"Ha, yeah, waiting",41
The works,Hammer To Fall,8,"For the hammer to fall, now baby",42
The works,Hammer To Fall,8,"Yeah, yeah",43
The works,Hammer To Fall,8,While you're waiting,44
The works,Hammer To Fall,8,"For the hammer to fall, ooh",45
The works,Hammer To Fall,8,Give it to me one more time!,46
